ePOS Code,Company Code,Date,ACRA REGISTERED NAME,Brand/Deal Name/Business Name,Sub Domain Link (If Lead is already available in Backend) Fill only when EPOS client,Tele Sales or MR (For KPI - Internal),Name of the Market Researcher,Original Source (Marketing),"Marketing Source (Do not fill anything if the leads are from Hubspot, EPOS clients)",Company Registration date / Date Established,Company Registration Number (UEN),Primary SSIC Code,Secondary SSIC Code,Hubspot ID (Company),Hubspot ID(Deal),Hubspot ID(Contact),Website URL,Business Type,Facebook Page,Instagram URL,Linkedin URL,Tik Tok URL,Ownership Type,Parent Industry Type,Industry Type,Sub Industry,Business model,Presence of Multiple Outlets,Number of Outlets (Write in #),Region,Planning Area,Business Location Type,Registered Address (Block & Street),Registered Address (Unit #),Registered Address (Postal code),"Operational Address 
(Block & Street)","Operational Address 
(Unit #)","Operational Address 
(Postal Code)",Operational Address Type,First Name,Last Name,PIC Name 1 Designation,PIC NAME 1 Contact Number,PIC 1 email address,PIC 1 Source,First Name 2,Last Name 2,PIC Name 2 Designation,PIC NAME 2 Contact Number,PIC 2 email address,PIC 2 Source,First Name 3,Last Name 3,PIC Name Designation 3,PIC NAME 3 Contact Number,PIC 3 email address,PIC 3 Source,FB/Insta/Tik Tok/Linkedin Contact,Current ePOS Client ?,"If ePOS Client, which product they are using?",Is this deal part of the Gov List?,Source from Market Researcher,Contact Number from Lusha?,Phone number Verified ?
,,"13,01,2026",TRENDY NAILS PTE. LTD.,TRENDY NAILS,,TeleSales,Hazim,Offline Sources,Web Scrapping,24-03-2020,202009536M,96023,0,,,,https://healingoasis.com.sg/,SME,https://www.facebook.com/trendynails.sg/,https://www.instagram.com/trendynails.sg/,,,LOCAL COMPANY,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,1 GOLDHILL PLAZA,,,1 GOLDHILL PLAZA GOLDHILL PLAZA 02-09 Singapore 308899,09,308899,,,,,65 8499 7272,nail-ops@healingoasis.com.sg,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",KONNIPA MAKEUP ARTIST,KONNIPA MAKEUP ARTIST,,TeleSales,Hazim,Offline Sources,Web Scrapping,05-10-2022,53457168M,96029,47721,,,,,SME,https://www.facebook.com/p/Konnipa-professional-makeup-artist-100075945313835/,https://www.instagram.com/konnipa/,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,151A YIO CHU KANG ROAD,,,151A YIO CHU KANG ROAD 01-151A Singapore 545602,151A,545602,,,,,65 8748 6685,,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",OUR SKINCARE SOLUTION PTE. LTD.,OUR SKINCARE,,TeleSales,Hazim,Offline Sources,Web Scrapping,23-03-2023,202311126Z,96022,96024,,,,https://oursolution.com.sg/,Startbud,https://www.facebook.com/oursolution/,,,,LOCAL COMPANY,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,221 JURONG EAST STREET 21,,,221 JURONG EAST STREET 21 01-877 Singapore 600221,877,600221,,,,,65 8761 6876,,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",ROYAL MASSAGE PTE. LTD.,ROYAL MASSAGE,,TeleSales,Hazim,Offline Sources,Web Scrapping,14-10-2021,202135905N,96024,0,,,,https://www.mycareersfuture.gov.sg/job/personal-care/spa-therapist-royal-massage-0ef4e9ff46936554b20b06dbc9686aa5,SME,https://www.facebook.com/RoyalMassagePteLtd/,,,,LOCAL COMPANY,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,14 JALAN KELULUT,,,14 JALAN KELULUT SELETAR HILLS ESTATE Singapore 809031,,809031,,,,,65 6235 5350,enquiry.royalmassage@hotmail.com,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",HOT NAIL PTE. LTD.,HOT NAIL,,TeleSales,Hazim,Offline Sources,Web Scrapping,08-05-2018,201815611D,96023,46900,,,,,SME,https://www.facebook.com/p/Hotnail-bedok-100027725451951/,,,,LOCAL COMPANY,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,418 BEDOK NORTH AVENUE 2,,,418 BEDOK NORTH AVENUE 2 01-67 Singapore 460418,67,460418,,,,,65 9692 4778,lamyenloan3@gmail.com,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",PHOELIE BEAUTY SOLUTION,PHOELIE BEAUTY,,TeleSales,Hazim,Offline Sources,Web Scrapping,26-07-2019,53401028L,96022,0,,,,,SME,https://www.facebook.com/p/Phoelie-Beauty-Solution-100076130604761/,,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,47 HOLLAND DRIVE,,,47 HOLLAND DRIVE 01-375 Singapore 270047,375,270047,,,,,65 6721 9711,phoeliebs19@gmail.com,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",ARYANA WELLNESS SG,ARYANA WELLNESS,,TeleSales,Hazim,Offline Sources,Web Scrapping,11-01-2024,53479294D,96022,85402,,,,,Startbud,https://www.facebook.com/AryanaWellnessSG/,https://www.instagram.com/aryana_wellness_sg,https://www.linkedin.com/in/jennifergohyimei/,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,363B SEMBAWANG CRESCENT,,,363B SEMBAWANG CRESCENT SUN NATURA 10-733 Singapore 752363,733,752363,,,,,65 8803 2118,,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",THE INFINITY EIGHT PTE. LTD.,THE INFINITY EIGHT,,TeleSales,Hazim,Offline Sources,Web Scrapping,18-09-2018,201832074M,96022,46594,,,,,SME,,,,,LOCAL COMPANY,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,865 MOUNTBATTEN ROAD,,,865 MOUNTBATTEN ROAD KATONG SHOPPING CENTRE 06-30 Singapore 437844,30,437844,,,,,65 6278 5855,,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",ELEGANT LASHES BY CELINE,ELEGANT LASHES BY CELINE,,TeleSales,Hazim,Offline Sources,Web Scrapping,18-02-2023,53463183E,96029,0,,,,,Startbud,https://www.facebook.com/lashesqueensg/,https://www.instagram.com/elegantlash.byceline,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,150 ORCHARD ROAD,,,150 ORCHARD ROAD ORCHARD PLAZA 02-04 Singapore 238841,04,238841,,,,,65 9121 6539,elegantlashes.byceline@gmail.com,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",SQD BEAUTY,SQD BEAUTY,,TeleSales,Hazim,Offline Sources,Web Scrapping,20-02-2023,53463233E,96029,0,,,,,Startbud,,https://instagram.com/sqdbeauty,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,50C OXLEY ROAD,,,50C OXLEY ROAD VALLEY MANSION Singapore 238636,,238636,,,,,65 8721 2211,,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",NATURAL BEAUTY PTE. LTD.,NATURAL BEAUTY,,TeleSales,Hazim,Offline Sources,Web Scrapping,08-03-2020,202007873C,96022,0,,,,,SME,https://www.facebook.com/DeNaturalBeauty/,,,,LOCAL COMPANY,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,14 SCOTTS ROAD,,,14 SCOTTS ROAD FAR EAST PLAZA 03-41 Singapore 228213,41,228213,,,,,65 6479 5308,info@nb-naturalbeauty.com,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",FAITH BEAUTE,FAITH BEAUTE,,TeleSales,Hazim,Offline Sources,Web Scrapping,22-03-2018,53379125A,96022,0,,,,https://faith-beaute.com/,SME,https://www.facebook.com/homefacial.body/,https://www.instagram.com/faithbeaute/,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,879B TAMPINES AVENUE 8,,,879B TAMPINES AVENUE 8 TAMPINES GREENFOREST 07-53 Singapore 522879,53,522879,,,,,65 9842 9972,faithbeaute@hotmail.com,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",SONG ZU LIAO,SONG ZU LIAO,,TeleSales,Hazim,Offline Sources,Web Scrapping,29-02-2020,53410077E,96024,0,,,,https://www.mycareersfuture.gov.sg/job/personal-care/foot-reflexologist-song-zu-liao-a582168bb8ea8534e228144d1dbc1ae9,SME,,,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,24 SIN MING ROAD,,,24 SIN MING ROAD SIN MING VILLE 01-43 Singapore 570024,43,570024,,,,,65 9773 7957,wenxintang168@gmail.com,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",HAIR BAR SALOON,HAIR BAR SALOON,,TeleSales,Hazim,Offline Sources,Web Scrapping,08-06-2023,53468666D,96022,96029,,,,https://hairbarsalon.com/,Startbud,https://www.facebook.com/hairbarsg/,https://www.instagram.com/hairbar.my/?hl=en,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,3 NEW BUGIS STREET,,,3 NEW BUGIS STREET 2 02-CSL2 Singapore 188867,CSL22,188867,,,,,65 9073 9923,,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",WW FEET CARE,WW FEET CARE,,TeleSales,Hazim,Offline Sources,Web Scrapping,04-04-2021,53431659W,96022,0,,,,https://feetcare.sg/,SME,,https://www.instagram.com/feetcare.sg/?hl=en,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,7A TOWNSHEND ROAD,,,7A TOWNSHEND ROAD 02-00 Singapore 207605,00,207605,,,,,65 8811 7258,info@feetcare.co,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",SUMMERNAILLL,SUMMERNAILLL,,TeleSales,Hazim,Offline Sources,Web Scrapping,10-04-2023,53465712E,96023,0,,,,,Startbud,,https://www.instagram.com/summernailll/?hl=en,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,1F CANTONMENT ROAD,,,1F CANTONMENT ROAD THE PINNACLE @ DUXTON 22-63 Singapore 085601,63,85601,,,,,65 8322 1999,,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",INNERSENSE BEAUTY & WELLNESS PTE. LTD.,INNERSENSE BEAUTY & WELLNESS,,TeleSales,Hazim,Offline Sources,Web Scrapping,11-04-2017,201710129E,96022,81211,,,,https://innersense-wellness.com/,SME,https://www.facebook.com/innersensesg/,,,,LOCAL COMPANY,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,1 FUSIONOPOLIS WAY,,,1 LOWER KENT RIDGE ROAD NUH MEDICAL CENTRE 04-06 Singapore 119082,10,138632,,,,,65 8168 2655,innersensebeautywellness@gmail.com,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",HEALING KNEADS PTE. LTD.,HEALING KNEADS,,TeleSales,Hazim,Offline Sources,Web Scrapping,14-07-2021,202124638G,96024,96022,,,,https://www.mycareersfuture.gov.sg/job/personal-care/massage-therapist-healing-kneads-8d7993bdc5a6c54c02161cf49ead4ba1,SME,https://www.facebook.com/healingkneads/,,,,LOCAL COMPANY,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,821 TAMPINES STREET 81,,,2 KALLANG AVENUE CT HUB 07-31 Singapore 339407,218,520821,,,,,65 9105 7066,healingkneadsfoot@yahoo.com,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",THE WOMEN'S WELLNESS PTE. LTD.,THE WOMENS WELLNESS,,TeleSales,Hazim,Offline Sources,Web Scrapping,15-02-2022,202205077D,96022,46900,,,,https://ogwomensspecialist.com.sg/,SME,https://www.facebook.com/womensmedicalsg/,,,,LOCAL COMPANY,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,21 TAMPINES STREET 92,,,21 TAMPINES STREET 92 HERSING KITCHEN 04-02 Singapore 528891,02,528891,,,,,65 8202 3803,askpopwow@gmail.com,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",HANA BEAUTY & NAILS,HANA BEAUTY & NAILS,,TeleSales,Hazim,Offline Sources,Web Scrapping,14-11-2023,53476427D,96023,96022,,,,,Startbud,,https://www.instagram.com/hana.beautynnails/,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,14 SCOTTS ROAD,,,14 SCOTTS ROAD 2 FAR EAST PLAZA 04-137A Singapore 228213,137A2,228213,,,,,65 9139 3156,,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",GUI ZU HUI,GUI ZU HUI,,TeleSales,Hazim,Offline Sources,Web Scrapping,31-03-2022,53448625L,96024,86202,,,,https://www.mycareersfuture.gov.sg/job/consulting/foot-reflexologist-gui-zu-hui-e9f83478f5f9e2ed85c162461e323ae5,SME,https://www.facebook.com/p/Foot-Massage-Gui-Zu-Hui-100090578109239/,,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,1 PARK ROAD,,,1 PARK ROAD PEOPLE'S PARK COMPLEX 03-08 Singapore 059108,08,59108,,,,,65 8180 7896,,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",OSCAR HEAD SPA III PTE. LTD.,OSCAR HEAD SPA III,,TeleSales,Hazim,Offline Sources,Web Scrapping,18-05-2017,201713772H,96022,0,,,,,SME,https://www.facebook.com/profile.php?id=61558567767546&mibextid=LQQJ4d,https://www.instagram.com/tnchaircare,,,LOCAL COMPANY,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,82 LORONG 23 GEYLANG,,,28 SIN MING LANE MIDVIEW CITY 08-133 Singapore 573972,10,388409,,,,,65 6441 0993,,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",YAKSON BEAUTY PTE. LTD.,YAKSON BEAUTY,,TeleSales,Hazim,Offline Sources,Web Scrapping,29-03-2021,202110984G,96022,47721,,,,https://www.mycareersfuture.gov.sg/job/personal-care/beauty-therapist-yakson-beauty-878c476d225def82da13cc925a36202f,SME,,https://www.instagram.com/yaksonsingapore/?hl=en,,,LOCAL COMPANY,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,501 ORCHARD ROAD,,,501 ORCHARD ROAD WHEELOCK PLACE 05-12A Singapore 238880,12A,238880,,,,,65 6908 5523,,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",SHARON BEAUTY EYEBROW PTE. LTD.,SHARON BEAUTY EYEBROW,,TeleSales,Hazim,Offline Sources,Web Scrapping,11-04-2019,201911825G,96029,47721,,,,https://sharonbrow.com/,SME,https://www.facebook.com/sharonbeautyeyebrow/,https://www.instagram.com/sharonbrowartist/,,,LOCAL COMPANY,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,85B LORONG 4 TOA PAYOH,,,85B LORONG 4 TOA PAYOH TOA PAYOH PEAKVIEW 11-344 Singapore 312085,344,312085,,,,,65 8668 0158,sharonwu31@gmail.com,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",PHILOSOPHY STUDIO PTE. LTD.,PHILOSOPHY STUDIO,,TeleSales,Hazim,Offline Sources,Web Scrapping,05-07-2021,202123379H,96022,96021,,,,http://www.philosophystudio.sg/,SME,https://www.facebook.com/PhilosophyStudiodotSG,https://www.instagram.com/philosophystudiosg/,,,LOCAL COMPANY,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,127 TYRWHITT ROAD,,,127 TYRWHITT ROAD Singapore 207551,,207551,,,,,65 9770 1210,,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",YC NAILS & BEAUTY PTE. LTD.,YC NAILS & BEAUTY,,TeleSales,Hazim,Offline Sources,Web Scrapping,19-12-2020,202040982R,96023,96022,,,,,SME,https://www.facebook.com/YCNailsBeauty/,https://www.instagram.com/ycnailsbeauty,,,LOCAL COMPANY,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,727 CLEMENTI WEST STREET 2,,,727 CLEMENTI WEST STREET 2 01-278 Singapore 120727,278,120727,,,,,65 8951 0298,contact@ycnailsbeauty.com,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",STUDIO EMXME,STUDIO EMXME,,TeleSales,Hazim,Offline Sources,Web Scrapping,15-01-2021,53427496W,96029,0,,,,,SME,https://www.facebook.com/studio.emxme/,https://www.instagram.com/studio.emxme/,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,12 WOODLANDS SQUARE,,,12 WOODLANDS SQUARE WOODS SQUARE 02-74 Singapore 737715,74,737715,,,,,65 8688 8584,studio.emxme@gmail.com,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",SLIM QUEEN,SLIM QUEEN,,TeleSales,Hazim,Offline Sources,Web Scrapping,14-12-2023,53477889E,96022,0,,,,https://www.mycareersfuture.gov.sg/job/personal-care/foot-reflexology-slim-queen-6d21a8d9fa89fd41c7281c97b9928cba,Startbud,https://www.facebook.com/slimqueensg,https://www.instagram.com/slim_queen118,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,10 ANSON ROAD,,,10 ANSON ROAD INTERNATIONAL PLAZA 02-79A Singapore 079903,79A,79903,,,,,65 8586 2777,,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",NICBY NAIL & EYELASH BOUTIQUE,NICBY NAIL & EYELASH BOUTIQUE,,TeleSales,Hazim,Offline Sources,Web Scrapping,16-06-2022,53451943A,96023,0,,,,,SME,,https://www.instagram.com/nicby.nails/,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,14 SCOTTS ROAD,,,14 SCOTTS ROAD FAR EAST PLAZA 03-93 Singapore 228213,93,228213,,,,,65 9438 3679,,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
